country,iso_code,solar_share_elec,solar_electricity,installed_capacity_gw,capacity_util_factor,ghi_kwh_m2_day,pvout_kwh_kwp_day,lcoe_usd_kwh_2018,elec_tariff_cent_kwh,rural_elec_access_pct,electricity_demand,solar_cagr_5yr,cap_2019_gw,cap_2024_gw,cap_added_gw_5yr,opportunity_score
Democratic Republic of Congo,COD,0.0,0.0,0.030028,0.0,5.1879,4.2556,0.1002,10.0,0.4,59.63,0.0,0.009578,0.030028,0.02045,0.403903733058513
Myanmar,MMR,0.527,0.13,0.216,0.06870454929815661,4.6943,4.1414,0.1026,8.3,39.7927429049178,24.48,0.07631692251481081,0.08848199,0.216,0.12751801000000001,0.40185332506102245
Croatia,HRV,5.423,0.82,0.85959995,0.10889636037795612,3.737,3.6306,0.1176,17.6,100.0,19.48,0.5927395820194556,0.084800005,0.85959995,0.774799945,0.40184087398509977
Guyana,GUY,0.0,0.0,0.017486,0.0,5.2123,4.1959,0.1014,30.0,81.8613599498453,59.63,0.0,0.007111,0.017486,0.010375000000000002,0.3986707468378335
Canada,CAN,1.479,9.42,5.7734,0.186258091549767,3.2515,3.8155,0.1767,13.3,100.0,624.29,0.20227530588021914,2.828,5.7734,2.9454,0.39864083117768034
Philippines,PHL,2.924,3.68,2.9710999,0.14139252746126554,4.7316,3.9324,0.1085,16.4,86.2595592235837,125.86,0.24104509125217888,1.0093479,2.9710999,1.961752,0.3912360313634908
Kyrgyzstan,KGZ,0.0,0.0,8e-05,0.0,4.114,4.1149,0.1036,2.9,99.9939226490173,21.13,0.0,,,,0.3908060518681042
Russia,RUS,0.241,2.92,2.55438,0.13049481022139747,3.1178,3.3552,0.2322,8.2,100.0,1192.83,0.24150802565384288,1.42501,2.55438,1.12937,0.3896093727779417
Puerto Rico,PRI,4.327,0.81,0.962645,0.0960538447970514,5.2681,4.3964,0.0969,24.5,100.0,18.72,0.10129331475495595,0.337031,0.962645,0.6256139999999999,0.3894854821085995
New Zealand,NZL,0.832,0.37,0.57803696,0.07307048829952746,3.5396,3.6774,0.097,11.5,100.0,44.46,0.23268375985300072,0.114541,0.57803696,0.46349596000000004,0.387313943939729
Costa Rica,CRI,0.646,0.08,0.07254899,0.1258793553338813,4.8909,4.093,0.1048,14.4,100.0,11.53,0.027066087089351765,0.047265,0.07254899,0.025283989999999992,0.38702805832100984
Uruguay,URY,3.069,0.53,0.329768,0.18346923626617148,4.7898,4.3043,0.0988,16.9,100.0,12.17,0.04762370263962179,0.253575,0.329768,0.07619300000000001,0.38435229962080203
Malaysia,MYS,2.078,4.12,2.305325,0.2040144598714699,4.706,3.7399,0.1138,11.6,100.0,197.0,0.23057722205583242,0.82926995,2.305325,1.4760550499999998,0.38257322997329657
New Caledonia,NCL,0.0,0.0,0.21471299,0.0,4.5737,3.9764,0.1076,,100.0,59.63,0.0,0.103554,0.21471299,0.11115899,0.3794305378690035
Turkey,TUR,7.523,25.67,19.88344,0.1473771790396256,4.5979,4.3232,0.0824,10.1,100.0,340.24,0.2181556564551932,5.996155,19.88344,13.887285,0.3780561196541532
Brunei,BRN,0.0,0.0,0.0051990002,0.0,4.8409,3.9009,0.1092,5.2,100.0,59.63,0.0,0.0012259999,0.0051990002,0.0039730003,0.3728126072214105
Thailand,THA,2.722,5.43,3.387611,0.18297939571533747,4.9348,4.0646,0.1046,12.6,100.0,236.6,0.010644740230456584,2.988488,3.387611,0.39912300000000034,0.364549669012177
Congo,COG,0.0,0.0,0.00074299995,0.0,4.8604,3.7669,0.1132,8.2,22.6253579795672,59.63,0.0,6.2e-05,0.00074299995,0.0006809999500000001,0.361066876005815
South Korea,KOR,5.232,32.72,26.680254,0.1399971610971769,3.9865,3.8163,0.1011,8.5,100.0,625.38,0.18186039646680907,10.847367,26.680254,15.832887000000001,0.35622780171734236
Georgia,GEO,0.0,0.0,0.132606,0.0,3.7245,3.7084,0.115,6.5,100.0,14.28,0.0,0.002736,0.132606,0.12987,0.3550383615202432
Poland,POL,10.324,17.66,20.199127,0.09980538936954143,2.977,2.9844,0.1192,13.2,100.0,173.02,0.9017195454847917,1.4952519,20.199127,18.7038751,0.3547392741935206
Papua New Guinea,PNG,0.0,0.0,0.004887,0.0,4.4832,3.6919,0.1159,30.3,15.4713485991113,59.63,0.0,0.0019019999,0.004887,0.0029850001,0.35449277271350405
Equatorial Guinea,GNQ,0.0,0.0,6e-06,0.0,4.6,3.6671,0.116,17.0,52.5734810186781,59.63,0.0,0.000336,6e-06,-0.00033,0.35231893589151325
Gabon,GAB,0.0,0.0,0.01154,0.0,4.5444,3.6024,0.1181,18.9,54.9649505185154,59.63,0.0,9.8e-05,0.01154,0.011442,0.346647676118013
Montenegro,MNE,2.162,0.08,0.030155001,0.3028492717119857,3.8614,3.8174,0.1116,13.3,100.0,3.54,0.0,,,,0.34206590997646524
Sweden,SWE,2.419,4.16,4.963,0.09568523972372728,2.6867,2.8373,0.1256,10.2,100.0,138.55,0.4365372224666617,0.714,4.963,4.2490000000000006,0.33681985198232633
Vietnam,VNM,8.518,25.86,18.666277,0.15814909392593648,4.2521,3.5544,0.1219,12.3,100.0,305.75,0.3993175997738403,4.993428,18.666277,13.672849000000001,0.3331764472068805
Portugal,PRT,14.983,7.09,5.808001,0.13935271887756345,4.5656,4.3155,0.0826,25.2,100.0,57.79,0.3954307448983896,0.97014004,5.808001,4.83786096,0.32752387978551506
Ecuador,ECU,0.121,0.04,0.031549,0.14473390743485057,4.3049,3.4015,0.1273,11.7,99.8245984776873,33.28,0.0,0.027630001,0.031549,0.003918998999999999,0.32726568409677365
Ukraine,UKR,0.0,0.0,5.5,0.0,3.3505,3.2962,0.1295,7.1,100.0,59.63,0.0,5.935688,5.5,-0.43568799999999985,0.31980780374327156
Chile,CHL,22.317,19.92,10.89753,0.2086686251599882,5.7583,5.3647,0.0684,9.7,100.0,89.26,0.25889571969908154,2.720784,10.89753,8.176746,0.3192035545004175
France,FRA,4.44,24.87,21.528088,0.1318761376249675,3.4825,3.3861,0.0954,13.0,100.0,470.13,0.15652297184812225,10.013181,21.528088,11.514907000000001,0.31892909434532385
Hong Kong,HKG,0.0,0.0,0.33310002,0.0,3.905,3.2718,0.1301,15.4,,59.63,0.0,0.089,0.33310002,0.24410002,0.3176690288055064
Slovenia,SVN,7.6,1.27,1.30937,0.11072284300829537,3.4522,3.4345,0.104,14.6,100.0,14.3,0.3345550507241837,0.277877,1.30937,1.031493,0.3143898533297028
Cyprus,CYP,19.611,1.11,0.72587,0.17456614650987545,5.2104,4.6983,0.0905,14.9,100.0,5.66,0.3822291881089874,0.151261,0.72587,0.574609,0.3098396728281855
Australia,AUS,17.828,50.21,35.86494,0.1598144360430368,5.7587,4.7071,0.0949,23.1,100.0,281.64,0.2236798997060383,15.452684,35.86494,20.412256,0.30520777029296764
Belarus,BLR,0.7,0.32,0.265,0.13784785043508227,2.9377,2.9485,0.1446,11.7,100.0,46.31,0.12195514544619956,0.154,0.265,0.11100000000000002,0.3043681977774782
El Salvador,SLV,18.298,1.29,0.64799094,0.2272566866021348,5.9155,4.8272,0.088,16.7,98.7540836323244,8.0,0.2136088255716122,0.41042098,0.64799094,0.23756996000000002,0.3035891838762491
Moldova,MDA,2.879,0.15,0.344,0.04977699904428162,3.5516,3.4493,0.1232,8.8,100.0,6.5,0.0,0.005,0.344,0.33899999999999997,0.3024590089810562
Romania,ROU,6.487,3.42,4.688068,0.08327758021089061,3.5742,3.5236,0.1207,5.9,100.0,55.68,0.13951808133120092,1.3977959,4.688068,3.2902721,0.2984823797080643
Slovakia,SVK,2.337,0.69,0.867,0.09085019987043971,3.2518,3.2655,0.109,11.6,100.0,26.56,0.031809247352788894,0.59,0.867,0.277,0.29821601686528176
Malta,MLT,15.068,0.33,0.23325,0.16150582155074952,5.0071,4.5618,0.093,17.0,100.0,3.16,0.10534229649286941,0.151181,0.23325,0.082069,0.29356705313953435
Switzerland,CHE,7.59,5.75,7.763678,0.08454661489875377,3.3567,3.3639,0.106,12.3,100.0,62.28,0.214065925588677,2.425,7.763678,5.338678,0.28700135554461714
Austria,AUT,10.334,8.14,8.480992,0.10956545464165483,3.2138,3.2571,0.1094,9.8,100.0,71.99,0.36783936052765775,1.70279,8.480992,6.778202,0.27791686161544704
Japan,JPN,9.514,96.7,89.60133,0.12319920681298065,3.6144,3.4456,0.1712,18.6,100.0,1016.39,0.07476784051260488,63.192,89.60133,26.409330000000004,0.2675249908026694
Spain,ESP,20.696,58.29,38.587414,0.172442485755617,4.5754,4.4127,0.081,24.8,100.0,271.42,0.31015724144509416,11.146393,38.587414,27.441021000000003,0.26557299528174794
Bulgaria,BGR,14.323,5.49,3.9081259,0.16036134577115935,3.8729,3.7028,0.1147,12.4,100.0,37.34,0.3105596723554529,1.04439,3.9081259,2.8637359,0.26454636212867066
Czechia,CZE,4.93,3.59,4.159411,0.09852773664304235,3.0809,3.0481,0.1167,12.1,100.0,66.16,0.09124255245446866,2.084848,4.159411,2.0745630000000004,0.2641629025274375
Italy,ITA,13.454,35.99,36.013115,0.11408198065022909,4.0721,3.9933,0.0673,19.3,100.0,318.51,0.08723483110742092,20.624992,36.013115,15.388123,0.2633116276710423
Estonia,EST,13.871,0.86,1.326,0.0740373423693327,2.7161,2.8369,0.126,8.5,100.0,9.1,0.6515057201303296,0.1206,1.326,1.2054,0.2557283360752309
Greece,GRC,19.761,11.26,9.268653,0.13868122237976555,4.4501,4.143,0.0861,19.5,100.0,56.67,0.20511067323196008,2.753803,9.268653,6.514850000000001,0.22791345672824828
Denmark,DNK,10.745,3.78,3.945,0.10938069691129745,2.7671,2.8434,0.1252,20.3,100.0,38.89,0.31535843262935415,1.08,3.945,2.8649999999999998,0.22706080868141082
Lithuania,LTU,19.178,1.4,2.567,0.062258415114208605,2.8246,2.8704,0.1241,8.3,100.0,12.7,0.7313190403391285,0.130013,2.567,2.4369870000000002,0.21870671882370285
United Kingdom,GBR,5.205,14.79,17.881292,0.09442025578372981,2.5918,2.6127,0.1521,17.2,100.0,317.35,0.03554580965897802,13.345,17.881292,4.536291999999998,0.21786074936780192
Belgium,BEL,11.259,8.56,9.751901,0.10020291938686515,2.9436,2.9164,0.1219,15.8,100.0,86.37,0.15031548719549614,4.523,9.751901,5.2289010000000005,0.19861172360876486
Latvia,LVA,8.544,0.54,0.466,0.132282909048151,2.7733,2.8531,0.1252,9.9,100.0,7.39,0.0,0.003302,0.466,0.462698,0.1917497878660803
Germany,DEU,15.038,74.13,89.943,0.09408546264993704,2.9777,2.9608,0.1119,32.2,100.0,519.23,0.10390751131616005,47.487,89.943,42.455999999999996,0.16352632345712875
Hungary,HUN,24.223,9.2,7.699,0.136411002792867,3.5222,3.4402,0.1035,17.6,100.0,48.71,0.4372731538069803,1.4,7.699,6.2989999999999995,0.16298440946777656
Netherlands,NLD,17.811,21.82,24.048437,0.10357710897837875,2.8649,2.8647,0.1241,10.6,100.0,118.29,0.32218491305633457,7.2275953,24.048437,16.8208417,0.15883924883473774
Luxembourg,LUX,24.0,0.36,0.523256,0.07853878486048683,3.0173,2.9478,0.1202,10.6,100.0,6.75,0.22594737959695776,0.159736,0.523256,0.36352000000000007,0.0822561908849904
